epoch,feature_index,feature,gamma_index,gamma
4,22,gen_fuel_multiple_fuels_pct,2,0.97960365
4,23,gen_fuel_multiple_fuels_mw,1,0.92674935
4,23,gen_fuel_multiple_fuels_mw,2,0.92674935
4,24,marginal_loss_price_rt,1,0.9463872
4,24,marginal_loss_price_rt,2,0.9463872
4,25,gen_fuel_gas_pct,1,0.88102216
4,25,gen_fuel_gas_pct,2,0.88102216
4,26,marginal_loss_price_da,1,1.0113754
4,26,marginal_loss_price_da,2,1.0113754
4,27,total_lmp_rt,1,0.93363804
4,27,total_lmp_rt,2,0.93363804
4,28,rmccp,1,0.91866374
4,28,rmccp,2,0.91866374
4,29,system_energy_price_rt,1,0.9407137
4,29,system_energy_price_rt,2,0.9407137
4,30,rmpcp,1,0.9555585
4,30,rmpcp,2,0.9555585
4,31,gen_fuel_wind_pct,1,1.014141
4,31,gen_fuel_wind_pct,2,1.014141
4,32,gen_fuel_coal_mw,1,1.0661675
4,32,gen_fuel_coal_mw,2,1.0661675
4,33,wind_generation_mw,1,1.0024236
4,33,wind_generation_mw,2,1.0024236
4,34,gross_inadv_interchange_mw,1,0.98176783
4,34,gross_inadv_interchange_mw,2,0.98176783
4,35,gen_fuel_oil_mw,1,0.92549276
4,35,gen_fuel_oil_mw,2,0.92549276
4,36,da_as_mcp_primary_reserve,1,0.9585646
4,36,da_as_mcp_primary_reserve,2,0.9585646
4,37,total_pjm_rt_load_mwh,1,0.9804353
4,37,total_pjm_rt_load_mwh,2,0.9804353
4,38,metered_load_mw,1,0.96246904
4,38,metered_load_mw,2,0.96246904
4,39,forecast_load_mw_latest_available,1,0.93536174
4,39,forecast_load_mw_latest_available,2,0.93536174
4,40,prelim_load_avg_hourly,1,0.99189276
4,40,prelim_load_avg_hourly,2,0.99189276
4,41,gross_actual_interchange_mw,1,0.93897223
4,41,gross_actual_interchange_mw,2,0.93897223
4,42,gen_fuel_hydro_mw,1,0.9694264
4,42,gen_fuel_hydro_mw,2,0.9694264
4,43,total_pjm_loc_credit,1,0.9084066
4,43,total_pjm_loc_credit,2,0.9084066
4,44,total_losses,1,1.0766733
4,44,total_losses,2,1.0766733
4,45,net_inadv_interchange_mw,1,0.9121423
4,45,net_inadv_interchange_mw,2,0.9121423
4,46,da_as_nsr_mw_primary_reserve,1,0.93989754
4,46,da_as_nsr_mw_primary_reserve,2,0.93989754
4,47,total_pjm_self_sched_reg,1,0.9038234
4,47,total_pjm_self_sched_reg,2,0.9038234
4,48,da_as_ss_mw_synchronized_reserve,1,0.94754773
4,48,da_as_ss_mw_synchronized_reserve,2,0.94754773
4,49,da_as_ss_mw_thirty_minutes_reserve,1,0.90759915
4,49,da_as_ss_mw_thirty_minutes_reserve,2,0.90759915
4,50,da_as_ss_mw_primary_reserve,1,0.94349647
4,50,da_as_ss_mw_primary_reserve,2,0.94349647
4,51,gen_fuel_solar_mw,1,1.0112365
4,51,gen_fuel_solar_mw,2,1.0112365
4,52,gen_fuel_coal_pct,1,0.98675996
4,52,gen_fuel_coal_pct,2,0.98675996
