field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,target
net_inadv_interchange_mw,0.05550651032671024,0.06982392345546151,0.029029065333575597,0.006849543696130072,0.10301106058966404,0.006890731182947089,0,0,0,0,0,0,0,0,net_actual_interchange_mw
gen_fuel_hydro_mw,0.014288480104748898,0.02887547233055254,0.02083528802458823,0.01860082166872351,0.08132610770445718,0.011994121095514428,0,0,0,0,0,0,0,0,net_actual_interchange_mw
solar_generation_mw,0.08793377689361932,0.06830852884885957,0.044703558791786314,0.01424418585150112,0.09939223076106324,0.008055712115158882,0,0,0,0,0,0,0,0,net_actual_interchange_mw
total_pjm_loc_credit,0.004689687900879915,0.1009238252274994,0.06128023630832711,0.010665139962710745,0.07942296843306965,0.01166015035668984,0,0,0,0,0,0,0,0,net_actual_interchange_mw
total_gen,0.33504440652124223,0.3633384215704333,0.2580856073250724,0.03900012114628383,0.31408772259190837,0.06948096065896779,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_oil_pct,0.18440416251035113,0.13514994415763407,0.10007294586449579,0.023292746850257205,0.1504966637125475,0.01942280438296925,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
forecast_load_mw_latest_available,0.33550865578304784,0.37078965925037016,0.26497326886701206,0.039170093327641944,0.32037167213688356,0.07436820539536193,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
prelim_load_avg_hourly,0.3381053226359422,0.37421085962840434,0.26555160774345615,0.03990435383302991,0.3268306621211195,0.0762704761358699,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
metered_load_mw,0.33724338194223913,0.3732543896789528,0.264862997714615,0.04002700583154371,0.3261101452885734,0.07592314830751501,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
total_pjm_rt_load_mwh,0.33357980554820693,0.3702845150624917,0.2627479396568215,0.03958614613960185,0.32351939821704095,0.07487983776419271,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
total_losses,0.44686468736365464,0.4189532254717019,0.29282215004154316,0.046347388029064525,0.38632622540564426,0.07570683749800255,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
total_pjm_reg_purchases,0.3415364751231106,0.34563617600006513,0.22821566488636655,0.036315723565997056,0.30423190937230554,0.04890562808887219,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
total_pjm_assigned_reg,0.3082302586629527,0.32075530619621656,0.2073125190565987,0.02891902918038772,0.2851861044953145,0.04524205053124034,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
da_as_ss_mw_primary_reserve,0.1848012294604361,0.1999427248793259,0.15178914065520463,0.02242645898781403,0.17915096360880348,0.021463175396667207,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
system_energy_price_da,0.26340994000459783,0.3278677889887368,0.23171437738056494,0.028329868168489068,0.2434256741421371,0.04535068107208688,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
total_lmp_da,0.27162770455541824,0.3349910888323069,0.23643133388260826,0.029468292362578783,0.2553261283017943,0.04709617384435434,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
marginal_loss_price_da,0.2032319486511621,0.18076687735066413,0.13039385992232275,0.018529567248573183,0.1957797371646692,0.02334429528812413,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
system_energy_price_rt,0.11874312389324872,0.2855079307711701,0.2004293543459598,0.02667465541477253,0.20824912951106755,0.038087093183963985,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
total_lmp_rt,0.11888092405627666,0.28577922303211123,0.20060985508001006,0.026869655993264362,0.20822044188973737,0.03814680963520154,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
marginal_loss_price_rt,0.15408374327057262,0.36748298580708155,0.2558647468997775,0.03412055943579656,0.276096275619646,0.05932930847584396,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gross_sched_interchange_mw,0.45582396938111175,0.425393087244798,0.28489501873313017,0.045178164001146034,0.39233921140597594,0.07625938130550171,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_solar_pct,0.2825112929483674,0.22473808331099718,0.14620021078970474,0.032471518641053417,0.2701188835530203,0.04935273388192383,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gross_inadv_interchange_mw,0.7850562911647503,0.761366934556838,0.5548710742549133,0.16429667922047866,0.708950042310331,0.31290305655979694,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
